Model,Accuracy without Storage Condition,Accuracy with Storage Condition,Improvement (%),p-value,Significant
KNN+LDA,0.9500 ± 0.0764,0.9833 ± 0.0500,3.33%,0.1679,No
LDA,0.9667 ± 0.0667,0.9833 ± 0.0500,1.67%,0.3434,No
Logistic Regression+LDA,0.9667 ± 0.0667,0.9833 ± 0.0500,1.67%,0.3434,No
Neural Network+LDA,0.9667 ± 0.0667,0.9833 ± 0.0500,1.67%,0.3434,No
Random Forest+LDA,0.9667 ± 0.0667,0.9833 ± 0.0500,1.67%,0.3434,No
SVM+LDA,0.9667 ± 0.0667,0.9833 ± 0.0500,1.67%,0.3434,No
