Model,Accuracy without Product,Accuracy with Product,Improvement (%),p-value,Significant
KNN+LDA,0.5167 ± 0.0598,0.5444 ± 0.1033,2.78%,0.4300,No
LDA,0.5167 ± 0.0598,0.5278 ± 0.1097,1.11%,0.7780,No
Logistic Regression+LDA,0.5389 ± 0.0853,0.5389 ± 0.1225,0.00%,1.0000,No
Neural Network+LDA,0.5389 ± 0.0889,0.5611 ± 0.1210,2.22%,0.2943,No
Random Forest+LDA,0.5222 ± 0.0774,0.4944 ± 0.0774,-2.78%,0.4130,No
SVM+LDA,0.5056 ± 0.0478,0.4944 ± 0.0643,-1.11%,0.4766,No
